,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
RASA4,37.03,11.93,2.06,5.97,20.21,4.62,8.6,6.41,3.84,12.26,12.72,1.95,10.49,20.55,11.41,2.16
RASA4B,22.6,8.94,1.7,6.38,16.08,3.74,9.15,4.56,3.8,4.09,7.41,3.2,6.07,11.57,6.1,1.35
RASAL1,0.69,7.81,19.85,0.87,0.76,12.2,16.96,6.21,3.91,3.3,2.66,1.61,0.85,5.45,0.11,2.91
RASAL2,17.47,6.29,4.51,1.29,0.69,16.65,23.47,23.64,7.98,18.32,21.44,5.99,7.26,19.77,7.09,11.84
RASAL3,0.29,0.0,0.16,0.11,0.72,0.18,0.03,0.4,0.09,0.02,0.06,0.04,0.62,0.03,0.01,0.05
RASD1,0.71,0.37,36.38,23.04,0.17,0.73,0.07,0.17,0.01,0.96,1.8,138.74,0.69,0.7,0.44,0.86
RASD2,16.18,30.78,0.54,0.02,0.41,3.07,2.16,12.85,0.52,14.09,1.4,0.21,0.34,0.93,1.77,3.33
RASEF,0.13,7.64,9.86,14.91,28.57,9.18,20.13,17.66,10.5,10.41,6.86,30.63,8.52,5.98,0.02,17.62
RASGEF1A,0.76,0.08,2.4,0.44,7.36,0.72,0.48,0.89,13.9,1.47,2.87,1.47,6.11,0.36,0.05,0.2
RASGEF1B,1.42,1.33,0.3,0.62,1.85,1.01,5.63,1.2,0.38,1.17,1.41,0.3,0.08,15.79,6.8,5.4
RASGEF1C,0.05,7.59,0.14,0.17,0.3,0.05,0.08,1.46,0.19,0.25,0.01,0.15,0.16,0.27,0.44,0.06
RASGRF1,0.06,6.1,0.0,0.02,0.21,4.35,0.78,0.26,0.36,1.52,0.2,2.04,2.81,1.13,0.02,1.39
RASGRF2,0.07,0.03,0.03,0.06,0.16,0.05,0.05,0.73,0.07,0.57,1.18,0.11,0.05,0.28,0.11,0.06
RASGRP1,0.21,7.73,0.05,2.01,0.58,0.11,0.03,1.32,0.51,0.87,0.16,0.0,0.99,0.5,1.74,0.44
RASGRP2,0.3,0.54,0.88,0.17,0.32,0.95,0.14,0.26,1.13,0.11,0.44,0.09,2.05,2.55,0.76,0.45
RASGRP3,0.56,0.35,0.08,0.0,0.2,0.12,0.48,1.58,0.12,0.6,1.44,0.49,0.14,4.63,0.44,1.61
RASGRP4,0.01,0.01,0.02,0.14,0.08,0.22,0.01,0.13,0.02,0.01,0.01,0.04,0.14,0.01,0.05,0.0
RASIP1,0.39,0.12,0.05,0.99,2.75,12.75,11.2,0.56,0.09,5.21,1.27,0.21,0.75,0.53,0.1,0.18
RASL10A,0.1,0.17,0.14,0.56,1.97,0.12,0.5,0.83,4.25,2.62,0.83,2.01,2.14,0.63,0.55,1.17
RASL10B,1.73,0.02,1.02,0.24,0.73,1.32,0.83,1.09,2.32,0.09,4.57,0.32,0.41,6.32,0.75,0.09
RASL11A,2.88,13.24,0.93,0.47,1.48,4.14,16.0,5.91,1.64,6.28,30.66,1.64,19.6,2.05,1.41,52.4
RASL11B,2.04,0.92,5.17,1.0,7.52,0.29,0.57,77.37,1.11,2.87,7.75,2.52,2.19,27.33,2.18,3.41
RASL12,0.03,0.0,0.01,0.03,0.02,0.06,0.01,0.01,0.03,0.02,37.16,0.04,0.38,0.17,2.37,0.04
RASSF1,35.83,19.67,17.18,8.45,0.22,33.12,26.44,32.58,24.86,20.24,18.27,47.05,18.15,22.08,22.02,18.36
RASSF2,0.43,4.07,0.03,0.06,0.05,0.28,0.14,0.89,0.02,0.6,4.45,0.03,0.99,0.76,0.15,1.08
RASSF3,11.05,13.33,6.44,12.3,30.94,13.75,15.42,18.98,8.03,19.55,15.55,19.81,20.14,10.86,12.1,21.95
RASSF4,4.74,12.62,0.33,0.13,1.64,2.32,0.91,2.07,0.59,10.35,5.32,1.22,0.88,1.43,2.49,0.86
RASSF5,4.18,0.27,2.79,0.87,4.24,22.33,24.6,1.59,3.11,4.32,1.67,0.26,5.53,43.58,0.24,8.12
RASSF6,0.07,0.87,0.67,0.01,29.99,0.08,1.54,1.2,0.02,0.55,0.79,2.02,0.31,0.08,0.07,2.19
RASSF7,14.31,44.23,35.58,20.96,51.67,41.01,32.29,42.75,44.83,26.44,24.83,57.84,78.57,35.03,23.71,32.05
RASSF8,19.7,0.81,3.06,34.54,42.98,6.53,8.21,8.63,2.85,7.9,13.33,3.43,13.2,3.0,8.33,2.09
RASSF9,0.48,0.89,0.0,0.0,0.07,0.01,3.0,3.86,0.06,0.63,0.63,0.0,0.03,7.88,0.57,1.7
RAVER1,18.88,35.16,18.22,23.95,17.31,25.27,24.56,12.69,18.14,18.27,23.89,28.49,14.08,40.42,32.09,21.53
RAVER2,2.66,8.85,3.17,1.93,15.11,6.69,16.33,13.69,7.32,10.0,7.32,11.97,12.75,21.47,5.84,5.79
RAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
RAX2,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0
RB1,32.25,0.8,3.2,9.35,14.14,8.42,10.31,7.49,13.25,13.75,37.93,15.56,11.25,3.77,6.77,22.5
RB1CC1,10.23,33.3,14.18,10.11,21.42,10.08,20.25,37.67,12.03,31.27,15.62,17.27,28.48,23.34,28.08,26.64
RBAK,4.24,5.05,4.7,8.06,6.88,6.06,7.35,6.42,5.04,6.05,4.36,6.73,6.56,9.18,5.49,7.88
RBAK-RBAKDN,0.07,0.04,0.2,0.28,0.02,0.14,0.11,0.57,0.09,0.14,0.11,0.21,0.0,0.13,0.29,0.22
RBBP4,192.99,173.65,94.39,102.31,260.18,139.14,208.16,98.76,148.17,121.18,307.77,171.24,197.82,325.41,232.37,127.85
RBBP5,10.98,10.07,8.19,14.89,11.52,10.34,13.82,15.38,12.9,15.72,13.1,8.6,13.89,18.27,16.13,14.17
RBBP6,67.52,34.24,23.49,33.2,44.96,36.14,51.8,27.36,26.52,57.44,58.87,45.94,41.88,51.97,47.63,37.08
RBBP7,122.73,177.52,54.24,138.56,228.07,163.77,154.25,43.39,364.51,80.89,92.85,167.84,263.42,80.26,180.02,238.54
RBBP8,81.86,10.14,2.68,19.08,81.07,69.19,64.81,36.37,28.54,33.91,82.23,11.79,53.62,18.49,16.41,39.15
RBBP8NL,0.02,5.25,2.83,5.76,4.8,1.85,5.15,4.63,4.53,1.39,3.2,4.76,6.83,5.3,4.14,4.05
RBBP9,10.63,11.83,6.71,10.89,22.03,6.51,9.16,3.23,12.02,22.0,19.05,11.56,6.96,7.96,22.1,4.41
RBCK1,91.7,28.78,54.84,68.28,50.88,149.62,72.22,9.32,85.3,121.75,124.08,53.12,35.13,68.21,66.37,72.88
RBFA,10.42,34.95,14.87,20.04,50.01,10.64,31.38,43.69,17.71,34.29,21.84,7.65,25.5,24.62,34.4,14.88
RBFOX1,0.02,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.02,0.0,0.07,0.03,0.0,0.01,0.01
RBFOX2,144.28,23.16,10.65,10.97,46.46,42.67,83.7,33.01,19.16,98.0,60.2,27.43,21.08,84.71,33.03,43.4
RBFOX3,1.02,0.1,0.03,0.0,0.03,0.19,0.02,0.64,0.05,1.51,0.24,0.06,0.68,0.07,0.13,0.19
RBKS,3.06,1.25,1.66,4.06,1.58,3.88,3.29,0.94,2.11,3.15,2.22,4.75,1.91,0.32,1.58,1.38
RBL1,3.915,5.445,1.98,2.945,4.175,5.375,5.7250000000000005,3.235,3.3800000000000003,12.895000000000001,12.89,5.855,4.96,1.755,9.41,3.29
RBL2,26.32,15.89,6.98,15.15,30.28,61.43,42.08,21.11,26.18,22.24,34.41,60.59,23.96,15.46,19.07,41.52
RBM10,23.78,27.84,18.86,25.99,24.71,25.11,19.45,11.96,29.94,28.39,23.37,33.39,44.61,31.25,31.13,33.44
RBM11,0.15,0.0,0.76,0.33,3.94,0.28,0.0,3.22,4.79,8.67,7.6,4.67,11.66,5.97,4.07,0.06
RBM12,62.9,52.05,25.16,38.29,33.92,50.38,34.99,43.75,41.58,47.48,71.65,46.28,47.83,63.79,90.67,44.45
RBM12B,13.26,19.74,7.12,12.47,14.99,17.7,17.76,13.12,9.26,20.49,19.56,23.06,19.01,24.29,26.35,30.29
RBM12B-AS1,4.47,8.41,1.32,4.08,5.67,12.4,6.28,7.94,2.76,5.31,7.43,15.12,9.19,5.09,10.98,9.2
RBM14,55.49,62.0,31.45,71.9,44.53,54.44,38.48,34.52,58.83,49.58,40.2,48.81,38.33,42.19,60.5,46.18
RBM14-RBM4,7.88,11.26,6.53,20.44,10.69,13.25,6.5,4.3,9.49,2.26,22.85,9.18,8.49,4.92,32.64,2.88
RBM15,10.89,11.16,3.75,5.01,4.02,15.38,11.98,11.26,5.77,13.72,9.04,6.74,9.63,10.28,13.16,13.6
RBM15B,17.58,13.49,12.64,8.66,13.6,15.98,18.65,20.26,16.23,10.05,26.26,21.07,15.53,29.18,17.41,21.75
RBM17,80.9,168.48,31.63,115.09,147.71,89.37,217.52,131.87,128.36,263.13,216.44,54.7,189.38,267.07,156.73,117.82
RBM18,11.16,14.64,5.97,9.27,24.5,16.45,13.84,24.79,9.69,13.67,14.72,20.52,12.91,10.21,8.43,20.06
RBM19,13.9,20.1,17.81,12.96,21.23,14.85,10.05,9.65,29.85,14.92,18.51,24.12,8.75,4.35,21.52,13.39
RBM20,0.04,0.96,0.18,0.28,0.12,0.49,0.06,0.03,3.64,0.99,0.01,1.23,1.64,0.25,0.4,0.17
RBM22,39.55,30.89,26.98,35.19,42.79,56.6,27.74,32.89,46.71,56.17,37.81,29.06,38.28,25.85,35.63,29.5
RBM23,85.02,22.82,21.61,55.64,45.22,67.73,91.57,24.35,42.25,50.4,48.91,73.54,36.6,47.68,42.83,94.11
RBM24,0.44,0.03,0.03,5.02,13.01,0.68,0.05,0.37,12.27,2.44,3.54,1.73,33.7,0.37,0.29,0.13
RBM25,58.84,51.32,35.19,54.0,55.59,54.83,61.96,65.23,73.1,97.06,97.38,36.77,39.59,69.27,60.82,74.75
RBM26,21.27,11.95,12.97,12.13,23.27,51.55,35.73,19.37,17.54,23.33,61.4,18.6,13.56,16.14,21.82,35.82
RBM27,18.0,12.14,11.54,13.03,17.02,15.9,11.63,13.84,14.46,17.62,20.56,10.73,12.54,12.38,12.09,14.58
RBM28,57.11,30.73,23.22,39.28,36.04,36.76,36.85,40.18,21.68,29.82,103.61,18.61,41.89,53.77,77.87,51.72
RBM3,221.49,299.15,302.19,263.66,475.42,194.87,96.75,77.57,238.41,125.98,304.36,171.12,273.36,261.96,232.14,229.8
RBM33,36.6,25.99,9.19,13.33,18.5,28.9,21.2,29.4,10.73,14.22,19.66,11.11,19.73,16.44,33.73,18.04
RBM34,69.26,77.45,89.8,64.14,59.37,95.27,69.55,99.3,72.25,91.37,79.59,44.42,56.45,86.63,112.85,62.38
RBM38,17.72,57.66,15.18,23.58,13.92,42.45,12.82,21.63,11.71,26.41,52.86,22.25,34.61,30.47,29.24,48.13
RBM39,195.41,276.12,114.14,218.75,458.74,240.71,173.19,243.86,241.22,428.99,294.34,464.77,174.93,156.93,412.31,155.21
RBM4,173.94,130.47,103.07,226.8,204.52,206.4,115.15,99.22,271.72,111.89,429.33,178.2,181.41,206.3,223.69,161.13
RBM41,7.37,5.87,3.73,6.1,10.16,9.59,17.78,24.81,5.92,6.91,9.45,8.76,6.83,16.93,8.64,17.52
RBM42,166.83,32.56,42.09,81.83,58.72,145.97,91.93,108.35,58.6,93.69,117.0,100.91,161.39,103.17,56.69,98.28
RBM43,2.78,1.07,0.57,1.42,1.89,2.21,1.99,0.9,2.06,2.16,3.62,1.54,1.31,0.9,1.54,6.07
RBM44,0.34,0.09,0.06,0.06,0.16,0.03,0.02,0.01,0.07,0.29,0.56,0.24,0.2,0.11,0.06,0.04
RBM45,9.51,5.24,5.76,10.14,13.35,7.87,7.32,8.57,9.76,10.28,9.96,8.89,11.91,4.89,5.85,11.85
RBM46,0.63,0.02,0.0,0.0,0.0,0.03,0.03,0.02,0.0,0.66,0.01,0.0,0.0,0.02,0.05,0.01
RBM47,5.7,23.27,43.17,32.59,26.63,35.62,43.98,31.62,22.76,24.33,22.09,64.39,21.41,4.56,29.52,60.29
RBM48,22.18,9.47,2.4,8.53,15.15,6.18,12.79,9.39,6.07,8.3,22.51,8.03,8.49,11.83,16.23,10.54
RBM4B,36.72,16.99,9.73,32.16,45.92,30.21,22.84,18.79,38.92,23.59,42.87,24.41,35.54,32.1,30.72,22.22
RBM5,105.6,88.98,43.52,49.63,72.34,81.28,58.52,95.58,76.1,55.18,76.38,56.08,70.8,88.25,62.51,65.24
RBM6,43.66,40.99,35.33,34.99,41.81,34.89,27.15,53.55,60.3,38.45,35.37,50.11,47.03,41.3,17.49,44.04
RBM7,16.28,16.15,7.3,5.24,13.56,32.09,23.21,13.98,12.67,12.25,31.57,7.68,8.89,48.83,19.71,24.28
RBM8A,188.64,215.42,197.91,417.01,137.57,87.06,228.96,155.15,177.75,132.14,154.15,154.74,196.12,387.28,206.57,285.29
RBMS1,54.24,25.56,18.45,13.06,13.5,37.06,49.08,22.86,6.89,40.75,64.59,12.72,20.93,76.66,23.79,48.49
RBMS2,5.55,3.08,2.11,0.94,1.49,16.97,9.33,5.98,12.07,28.33,16.66,5.58,2.89,7.97,6.54,12.48
RBMS3,8.51,0.06,0.0,0.01,0.0,0.61,0.18,0.52,0.0,1.79,7.16,0.0,0.01,0.44,0.72,0.14
RBMX,186.92,159.79,139.14,202.25,203.71,179.62,182.61,159.27,146.0,170.66,286.83,134.78,141.46,334.18,198.97,190.68
RBMX2,29.45,15.12,14.89,28.17,27.74,33.66,23.95,12.82,13.65,29.01,18.24,16.01,32.32,36.11,18.71,29.01
RBMXL1,11.22,7.81,3.47,3.44,7.45,11.38,7.79,9.06,6.2,7.11,6.33,6.62,6.78,7.98,9.36,6.95
RBMXL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0
RBMXL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP1,2.78,0.14,0.04,0.05,90.6,79.18,229.44,1.84,0.34,98.17,51.23,0.19,21.11,25.06,2.61,102.66
RBP2,0.05,0.0,0.0,0.0,0.06,3.03,0.0,0.0,0.0,0.0,0.04,0.04,17.52,0.09,0.0,0.06
RBP3,0.02,0.0,0.0,0.0,0.0,0.16,0.0,0.01,0.0,0.06,0.02,0.0,0.01,0.02,0.01,0.03
RBP4,0.64,0.06,0.02,0.03,0.0,3.0,0.85,0.1,0.56,0.9,12.98,0.0,0.59,1.1,0.1,2.8
RBP5,8.48,2.03,2.33,0.16,1.75,4.91,4.75,4.95,1.7,2.36,3.5,0.84,0.08,5.63,4.71,1.28
RBP7,0.11,34.26,0.0,0.91,56.48,5.84,0.06,0.62,39.78,17.94,14.76,7.08,21.97,0.2,0.0,0.22
RBPJ,58.39,22.56,9.08,16.49,22.68,18.28,14.47,31.26,13.95,21.55,15.42,23.91,20.67,22.68,24.57,21.57
RBPJL,0.0,0.0,0.03,0.0,0.04,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0
RBPMS,10.93,82.06,5.46,23.81,20.75,31.17,28.92,9.71,16.07,6.69,17.62,58.92,17.77,15.46,15.98,67.12
RBPMS2,1.9,0.56,0.11,0.39,4.85,1.73,1.37,4.07,4.54,2.76,10.8,0.03,2.63,2.1,5.84,2.37
RBX1,91.24,53.3,44.17,45.74,95.06,70.31,113.9,85.87,55.93,88.45,59.86,77.03,67.98,49.78,115.95,56.11
RC3H1,5.22,4.59,3.08,4.08,5.58,5.87,5.88,7.27,3.94,5.32,6.61,4.11,6.61,9.19,5.52,7.27
RC3H2,17.37,11.44,6.06,15.94,30.69,30.1,28.63,24.35,17.35,20.91,33.46,31.47,22.75,21.73,12.81,22.91
RCAN1,10.86,209.69,14.34,2.21,2.77,65.22,80.8,81.98,74.92,38.17,38.1,8.07,19.99,37.88,120.58,52.09
RCAN2,0.38,0.59,0.0,0.03,0.03,0.17,3.07,7.83,0.01,8.22,4.35,0.0,0.0,5.65,0.12,0.34
RCAN3,4.48,8.2,1.54,2.03,5.34,4.65,26.1,16.16,6.35,8.37,21.94,19.28,19.08,10.53,8.04,11.89
RCBTB1,7.2,3.16,2.45,3.81,9.89,2.39,8.1,6.21,7.44,5.98,14.27,8.09,9.21,11.88,8.15,11.4
RCBTB2,9.48,0.17,0.09,0.85,0.7,1.21,6.01,0.79,0.32,1.69,9.15,0.99,0.86,0.71,2.28,4.1
RCC1,80.8,145.57,54.23,83.02,56.69,70.78,194.97,123.2,61.37,102.74,75.4,70.7,61.3,58.97,241.53,145.16
RCC2,84.09,110.14,38.11,88.56,50.17,93.95,209.03,35.93,58.72,90.44,106.63,65.33,175.43,155.37,120.59,123.46
RCCD1,57.81,42.32,5.71,33.38,26.26,45.37,26.14,27.87,25.77,16.24,20.92,5.01,12.65,11.9,23.41,14.93
RCE1,50.02,34.5,18.25,33.7,27.31,42.72,27.31,19.06,22.92,38.79,45.7,22.22,32.17,51.05,58.49,26.82
RCHY1,23.69,26.03,38.93,32.71,58.23,10.81,25.2,21.64,35.16,16.07,37.56,41.86,44.06,35.83,28.89,24.54
RCL1,26.11,38.34,23.12,18.11,7.93,16.71,31.58,15.76,8.68,7.09,23.21,5.52,8.35,16.69,16.99,51.6
RCN1,157.7,49.63,52.75,12.15,112.49,160.06,70.74,75.87,76.13,135.4,115.5,31.41,29.63,167.33,231.57,175.72
RCN2,54.31,31.46,26.97,75.11,42.64,53.16,50.45,107.82,44.93,98.49,113.88,36.1,33.85,45.62,98.55,67.75
RCN3,34.19,37.14,0.26,0.52,0.3,7.58,1.5,0.57,1.18,55.62,2.85,9.83,0.37,5.02,10.91,2.58
RCOR1,17.72,8.8,12.2,21.85,20.4,19.56,28.37,8.39,18.68,21.45,23.99,19.62,27.97,29.68,12.19,19.73
RCOR2,3.35,0.46,0.42,1.82,4.8,0.7,0.94,1.66,2.46,3.63,5.12,0.83,5.27,12.83,0.63,1.3
RCOR3,33.37,37.37,23.42,12.91,48.49,25.44,33.7,59.09,36.54,34.52,37.33,23.79,28.49,60.83,34.45,26.98
RCSD1,0.22,3.82,0.11,0.01,0.13,0.41,0.19,0.11,0.01,0.02,0.08,0.01,0.09,0.73,0.77,15.79
RCVRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0
RD3,0.0,0.12,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0
RD3L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDH10,23.92,39.28,14.56,5.45,7.75,37.74,99.31,58.27,10.99,18.84,37.72,20.2,13.14,19.18,21.84,83.95
RDH11,50.18,42.82,45.25,74.34,43.71,63.98,79.52,29.75,82.5,97.66,77.76,33.92,29.85,42.16,67.05,119.19
RDH12,0.47,0.16,0.01,0.08,0.2,0.21,0.08,0.12,0.45,0.08,0.9,0.2,0.05,0.5,0.01,0.23
RDH13,9.01,24.83,60.52,40.66,45.55,58.04,21.73,23.98,36.24,35.47,29.25,47.34,47.01,15.77,19.78,24.7
RDH14,9.76,14.41,11.54,13.55,18.15,18.83,13.42,13.78,13.45,23.12,21.19,30.68,19.79,14.04,13.54,23.08
RDH16,0.14,0.87,0.39,0.59,3.61,0.2,0.04,0.29,0.33,4.39,0.14,0.36,2.65,0.39,0.28,0.27
RDH5,2.2,1.11,0.23,1.92,5.19,1.76,2.23,1.13,5.46,2.36,1.01,0.1,4.04,2.07,6.26,0.78
RDH8,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0
RDM1,11.96,3.67,0.73,2.4,2.31,12.63,2.37,0.65,17.27,4.65,8.82,1.53,4.18,1.28,2.51,1.81
RDX,43.36,53.97,38.28,46.52,12.46,63.94,62.43,43.25,76.26,23.71,120.67,37.84,24.75,298.54,78.42,37.58
REC8,20.63,2.67,2.95,3.53,3.1,30.43,20.37,1.44,2.8,13.91,6.66,2.31,7.44,14.11,4.52,12.57
RECK,4.42,3.95,0.0,0.1,0.04,8.92,1.51,2.1,0.0,1.72,7.88,0.03,1.2,4.87,5.35,3.19
RECQL,84.13,12.4,6.06,18.82,73.67,42.77,31.21,8.6,37.55,50.4,32.58,20.84,29.33,50.93,22.04,15.1
RECQL4,72.54,69.18,20.84,61.6,57.84,134.29,37.32,81.59,52.11,148.5,19.33,219.94,28.85,47.13,135.86,28.27
RECQL5,34.65,34.06,62.86,45.13,41.96,32.55,20.84,15.28,52.85,61.64,24.4,30.15,32.34,11.86,18.88,20.13
REEP1,4.51,13.85,1.5,0.93,3.69,0.46,0.03,2.22,3.29,0.9,1.0,29.18,19.27,1.64,1.75,0.59
REEP2,5.65,9.63,0.07,1.84,5.52,1.35,0.21,5.14,1.67,1.74,13.81,0.14,0.76,14.13,1.14,0.32
REEP3,6.26,7.3,8.89,17.47,9.18,9.7,27.54,11.94,18.28,43.28,30.07,10.99,16.49,10.72,7.55,15.49
REEP4,40.73,25.83,16.15,37.71,29.03,47.25,19.66,4.92,52.16,25.52,21.85,35.49,23.93,65.41,59.7,33.08
REEP5,37.89,84.02,196.28,176.14,357.33,86.12,105.51,58.79,250.71,83.31,69.37,125.12,255.43,36.78,78.5,217.48
REEP6,13.4,7.57,24.12,29.11,107.33,19.8,4.81,7.49,159.77,11.85,2.47,128.28,98.11,4.8,5.99,15.07
REG1A,0.0,0.0,0.11,0.03,0.08,0.0,0.0,0.22,0.07,0.0,0.0,0.03,0.08,0.0,4428.6,0.0
REG1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,0.0
REG3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
REG3G,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
REG4,0.11,0.04,1.93,0.09,0.22,0.03,0.17,0.03,0.13,0.0,0.11,0.29,0.13,0.17,0.04,0.15
REL,6.43,4.75,1.01,5.19,5.32,4.36,8.03,10.49,1.45,7.39,9.01,3.56,17.49,7.29,4.55,6.77
RELA,118.8,51.18,44.49,45.6,42.6,65.78,53.04,38.44,67.07,65.57,82.39,64.0,61.33,93.36,76.14,66.61
RELB,19.43,1.78,3.78,0.85,3.99,7.16,4.82,3.68,1.26,31.79,19.42,1.39,2.9,41.9,14.7,5.44
RELL1,8.69,7.99,6.04,4.12,8.61,4.21,7.92,4.28,7.95,3.54,4.48,9.96,4.69,4.09,11.8,5.69
RELL2,14.93,39.39,4.35,7.62,19.7,23.96,8.77,11.6,21.84,2.56,10.55,11.91,7.66,1.3,29.6,10.04
RELN,0.08,0.06,0.0,0.04,0.01,1.51,0.12,0.04,0.0,0.09,0.05,0.0,0.01,0.49,0.0,0.63
RELT,10.34,9.27,4.78,7.05,13.77,14.94,7.44,9.91,4.23,11.01,15.02,5.32,7.44,10.11,14.03,5.24
REM1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.03,0.01,0.0
REM2,0.48,0.4,0.58,0.61,1.12,0.74,0.56,0.42,0.91,1.0,0.68,0.72,0.63,0.38,0.05,0.44
REN,0.02,0.01,0.02,0.08,0.59,0.81,0.02,0.01,0.14,0.14,0.12,0.14,0.62,0.05,0.02,0.86
RENBP,0.06,24.94,0.49,0.02,0.38,0.18,0.09,10.01,1.16,0.29,0.13,0.16,0.13,0.16,0.08,0.73
REP15,1.23,0.14,0.07,0.15,0.7,0.5,0.33,0.12,0.18,0.28,0.21,0.91,0.21,0.39,0.36,0.06
REPIN1,93.31,121.34,108.02,73.06,143.65,57.16,64.35,85.17,62.76,62.06,110.74,85.27,123.62,99.03,90.67,99.07
REPS1,20.25,17.52,12.41,18.85,28.79,30.18,21.97,46.0,13.06,29.19,29.69,27.58,21.47,24.91,13.2,31.36
REPS2,0.44,6.58,0.66,2.83,17.76,1.23,8.2,2.63,5.56,3.65,3.42,12.25,5.3,2.48,3.33,10.24
RER1,101.04,109.69,48.02,111.95,104.67,139.62,204.54,56.81,83.1,142.39,100.66,71.33,194.24,133.18,70.82,126.84
RERE,14.74,31.23,14.25,18.06,20.28,20.29,65.5,15.64,16.44,19.45,21.73,31.46,23.26,57.03,17.72,35.48
RERG,12.65,0.05,9.81,51.27,32.13,21.47,65.45,4.76,40.3,2.11,6.49,17.05,17.7,165.17,0.02,3.12
RERGL,0.0,0.11,0.0,0.02,0.22,0.0,0.0,0.0,0.0,0.0,0.14,0.16,0.06,0.16,7.04,0.0
RESP18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
REST,9.37,7.28,6.19,10.09,17.33,9.53,10.87,11.39,10.9,10.25,17.97,15.47,11.47,15.01,14.17,13.33
RET,0.13,4.92,13.05,23.7,11.12,0.15,0.02,0.39,2.16,0.52,0.49,10.7,24.92,0.29,0.16,0.3
RETN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.05,0.0,0.07,0.0
RETNLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETSAT,25.67,103.83,40.57,26.68,32.42,38.17,32.8,10.25,30.17,33.64,29.7,49.0,56.54,28.09,20.77,46.89
REV1,20.32,16.6,7.0,15.29,28.7,22.18,21.53,42.04,12.56,36.63,22.7,16.45,24.06,15.25,41.99,29.07
REV3L,10.13,5.57,4.04,11.04,6.42,7.66,8.7,21.13,5.47,14.37,6.31,8.27,7.52,4.43,7.21,7.98
REXO1,21.13,15.09,16.93,8.91,17.08,16.07,11.61,18.43,16.64,24.89,26.99,22.2,25.38,12.97,14.15,22.33
REXO1L1,0.28,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.66,0.01,0.0,0.0,0.0
REXO1L10P,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
REXO1L11P,0.15,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
