,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
CRYAB,0.74,0.14,0.62,0.68,0.08,0.21,3.91,0.43,1.46,0.45,0.0,0.28
CRYBA1,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYBA2,0.17,0.88,0.44,0.08,0.0,0.53,0.31,0.5,2.36,0.32,0.14,0.22
CRYBA4,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.08
CRYBB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYBB2,0.0,0.16,0.31,0.33,0.03,0.13,0.59,0.13,0.13,0.34,0.1,0.03
CRYBB3,0.07,0.35,0.0,0.29,0.06,0.0,0.48,0.68,2.32,0.23,0.2,0.37
CRYBG3,4.75,2.12,3.17,2.235,3.6500000000000004,1.99,3.85,5.66,7.835000000000001,2.1100000000000003,6.3100000000000005,3.8949999999999996
CRYGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYGB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYGC,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
CRYGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYGN,0.0,0.43,0.0,0.0,0.0,0.0,0.04,0.0,3.06,0.03,0.05,0.0
CRYGS,3.01,1.89,0.13,2.59,3.07,0.05,1.16,3.1,1.87,0.62,1.38,7.31
CRYL1,30.72,2.64,46.46,34.06,6.47,12.67,3.55,17.49,3.47,84.26,108.56,26.84
CRYM,3.89,0.87,1.75,0.18,0.4,1.81,0.34,4.13,0.16,0.53,3.36,13.04
CRYZ,31.81,45.92,22.01,25.62,43.73,24.11,31.37,29.65,73.38,30.79,44.68,37.0
CRYZL1,33.93,14.77,30.38,12.71,21.51,29.11,11.37,18.52,36.39,7.69,17.08,13.25
CS,192.71,198.85,160.93,93.8,85.74,154.73,124.38,126.67,135.49,112.58,120.54,65.34
CSAD,19.63,15.98,19.66,9.77,17.29,3.0,13.33,23.97,11.45,6.06,15.53,21.78
